JUMP,1,2010-07-01
TU03,21,2010-07-10
HA02,60,2010-07-15
DREV,1,2010-08-07
WCPP,20,2010-08-14
DREV,100,2010-08-17
CT07,15,2010-08-31
JUMP,1,2010-09-01
DREV,2,2010-09-21
DT03,100,2010-09-25
LC01,3,2010-10-01
YG05,1,2010-10-05
SDMA,38,2010-10-15
TF05,3,2010-10-26
JUMP,1,2010-11-01
CT07,10,2010-11-02
STBL,1,2010-11-06
STBL,100,2010-11-11
TU04,21,2010-11-13
XSPU,1,2010-11-23
DL11,21,2010-12-01
JUMP,2,2010-12-01
HA03,60,2010-12-02
YDT1,3,2010-12-07
JMPS,1,2011-01-01
JUMP,1,2011-01-01
DP10,30,2011-01-21
DT04,100,2011-01-25
STOR,1,2011-02-05
STOR,100,2011-02-08
DEM1,20,2011-02-12
MOV2,1,2011-02-22
YMP1,9,2011-02-22
JUMP,1,2011-03-01
YG06,1,2011-03-01
SDDL,39,2011-03-04
STOR,2,2011-03-22
DPC5,4,2011-03-31
JUMP,1,2011-04-01
TU05,21,2011-04-09
HA04,60,2011-04-15
EXVC,1,2011-04-30
WQ11,3,2011-05-01
EXVC,100,2011-05-06
WC11,3,2011-05-10
DP11,30,2011-05-27
DT05,2,2011-05-29
DT05,50,2011-05-29
DL12,19,2011-06-01
JUMP,2,2011-06-01
JUMP,1,2011-06-01
SDLS,38,2011-06-10
GLD4,50,2011-06-24
YF01,1,2011-07-06
YS11,43,2011-07-08
HASE,2,2011-07-22
MOV2,1,2011-07-25
WP11,20,2011-08-01
TU06,21,2011-08-04
GENF,1,2011-08-06
YCSW,1,2011-08-07
YG09,1,2011-08-07
GENF,100,2011-08-16
YG07,1,2011-08-18
CT08,9,2011-08-25
JUMP,1,2011-09-01
GENF,2,2011-09-15
DT05,50,2011-09-29
LC02,13,2011-10-04
LCGX,266,2011-10-04
SDGU,39,2011-10-13
CT08,9,2011-11-01
PHSW,1,2011-11-05
PHSW,100,2011-11-10
DL13,20,2011-12-01
HA05,60,2011-12-01
JUMP,2,2011-12-01
JUMP,1,2011-12-01
SAAS,1,2011-12-06
JUMP,1,2012-01-01
TU07,21,2012-01-01
YG08,1,2012-01-03
ORCS,1,2012-01-14
ORCS,100,2012-01-20
DT06,2,2012-02-03
DT06,50,2012-02-03
SDDC,40,2012-02-03
YF02,1,2012-02-07
RYMP,113,2012-02-17
JUMP,1,2012-03-01
ORCS,2,2012-03-02
PRC1,25,2012-03-16
H5SE,2,2012-03-30
JUMP,1,2012-04-01
YS12,43,2012-04-13
GAOV,1,2012-04-28
GAOV,100,2012-05-08
BP01,220,2012-05-24
DT06,50,2012-05-25
BATT,20,2012-05-29
JUMP,1,2012-05-30
DL14,20,2012-06-01
TU08,21,2012-06-01
YZ01,1,2012-06-05
GLD5,55,2012-06-07
RYMP,1,2012-06-12
SDWA,41,2012-06-21
HA06,60,2012-07-24
CT09,9,2012-08-10
REDU,1,2012-08-18
REDU,100,2012-08-24
JUMP,1,2012-08-27
YCSW,1,2012-09-01
REDU,2,2012-09-21
LC03,4,2012-09-27
DT07,1,2012-09-28
DT07,51,2012-09-28
LCYW,306,2012-09-29
YF03,1,2012-10-02
SDRE,39,2012-10-11
JUMP,1,2012-10-12
CT09,9,2012-10-26
ABYR,1,2012-11-03
ABYR,100,2012-11-09
AP01,25,2012-11-23
YZ02,1,2012-12-04
ABYR,2,2012-12-05
DL15,20,2012-12-15
JUMP,1,2012-12-25
CT09,5,2013-01-18
CBLZ,1,2013-01-19
CBLZ,100,2013-01-25
DT07,49,2013-02-01
SDOK,39,2013-02-08
SP13,50,2013-03-01
ZTIN,24,2013-03-07
JUMP,1,2013-03-15
CBLZ,2,2013-03-21
YF04,1,2013-04-02
AP02,25,2013-04-19
HA07,70,2013-04-26
LTGY,1,2013-05-11
LTGY,100,2013-05-17
YZ03,1,2013-06-04
YS13,15,2013-06-14
YS13,42,2013-06-14
BP02,215,2013-06-28
DL16,20,2013-07-01
JUMP,1,2013-07-09
NUMH,60,2013-07-12
JOTL,1,2013-08-03
JOTL,100,2013-08-08
CT10,9,2013-08-30
YCSW,1,2013-09-01
SDBE,40,2013-09-12
AP03,26,2013-09-13
JOTL,4,2013-09-27
LC04,6,2013-10-11
LCJW,298,2013-10-11
JUMP,1,2013-10-24
SHSP,1,2013-11-02
YF05,1,2013-11-05
SHSP,100,2013-11-08
CT10,9,2013-11-22
YSKR,48,2013-12-06
YSYR,46,2013-12-06
DL17,20,2013-12-13
SHSP,2,2013-12-13
JUMP,1,2013-12-15
PRIO,1,2014-01-01
YZ04,1,2014-01-07
BPW2,103,2014-01-17
WGRT,104,2014-01-17
LVAL,1,2014-01-18
LVAL,100,2014-01-24
SDCR,38,2014-02-06
AP04,26,2014-02-07
SP14,50,2014-02-21
LVAL,4,2014-03-07
JUMP,1,2014-03-13
PGLD,90,2014-03-28
FFSE,1,2014-04-04
DRLG,51,2014-04-25
PRIO,1,2014-05-10
PRIO,100,2014-05-16
PRIO,4,2014-06-12
ZDC1,3,2014-06-26
DL18,20,2014-06-27
SDLI,36,2014-06-27
YZ05,1,2014-07-01
YS14,15,2014-07-10
YS14,40,2014-07-10
AP05,26,2014-07-25
BP03,237,2014-07-31
DUEA,1,2014-08-09
DUEA,100,2014-08-14
JUMP,1,2014-08-18
CT11,6,2014-08-28
MP14,247,2014-08-28
YF06,1,2014-09-02
YCSW,1,2014-09-07
DUEA,7,2014-09-11
JUMP,1,2014-10-08
SDGR,35,2014-10-16
LC05,5,2014-10-23
LC5D,256,2014-10-23
NECH,1,2014-11-01
NECH,100,2014-11-06
NKRT,38,2014-11-20
NKRT,6,2014-11-20
NECH,14,2014-12-04
AP06,28,2014-12-05
SECE,1,2015-01-10
SECE,100,2015-01-15
SDHS,45,2015-01-29
YZ06,1,2015-02-03
THSF,60,2015-02-12
JUMP,1,2015-02-19
SECE,14,2015-02-26
YF07,1,2015-03-03
PGL2,91,2015-03-19
DEM2,20,2015-03-30
WSUP,50,2015-04-16
JUMP,1,2015-05-07
CROS,1,2015-05-09
CROS,100,2015-05-14
YS15,42,2015-05-28
YS15,29,2015-05-29
YS15,28,2015-05-29
AP07,27,2015-06-04
SP15,50,2015-06-12
DPBC,47,2015-06-19
JUMP,1,2015-07-01
CROS,4,2015-07-02
DRL2,45,2015-07-16
CORE,1,2015-08-01
CORE,100,2015-08-06
SDSE,43,2015-08-27
YCSW,1,2015-08-30
YZ07,1,2015-09-01
CT12,6,2015-09-17
MP15,247,2015-09-17
HSRD,60,2015-10-01
YF08,1,2015-10-06
JUMP,1,2015-10-07
AP08,27,2015-10-23
DOCS,1,2015-10-31
DOCS,100,2015-11-05
YGLD,126,2015-11-12
SDMP,43,2015-12-03
DOCS,4,2015-12-10
CORE,4,2015-12-11
BOSH,1,2016-01-09
BOSH,100,2016-01-14
DEM3,20,2016-01-14
JUMP,1,2016-01-18
SR01,41,2016-01-28
JMPS,1,2016-02-01
WIRA,60,2016-02-11
BOSH,4,2016-02-25
YZ08,1,2016-03-01
PGL3,100,2016-03-17
OP01,27,2016-03-18
YF09,1,2016-04-05
MIL1,48,2016-04-14
JUMP,1,2016-04-20
SHVI,1,2016-04-30
SHVI,100,2016-05-05
YS16,43,2016-05-26
SHVI,4,2016-06-16
JMPS,1,2016-07-01
JUMP,1,2016-07-04
SR02,41,2016-07-07
OP02,27,2016-07-15
MVP1,57,2016-07-21
TDIL,1,2016-07-30
TDIL,100,2016-08-04
DRL3,73,2016-08-18
YCSW,1,2016-08-28
CT13,12,2016-09-01
MP16,239,2016-09-01
YZ09,1,2016-09-06
DPRP,46,2016-09-15
TDIL,4,2016-09-15
JUMP,1,2016-10-06
LDK2,130,2016-10-06
SDKS,44,2016-10-20
SDMY,45,2016-10-20
INOV,1,2016-10-29
INOV,100,2016-11-03
DESO,60,2016-11-17
OP03,27,2016-11-17
INOV,4,2016-12-08
JMPS,1,2017-01-01
MVP1,61,2017-01-12
JUMP,1,2017-01-16
SDPD,43,2017-01-19
MVPC,1,2017-01-27
RATE,1,2017-02-04
RATE,100,2017-02-09
FUEN,60,2017-02-23
SP17,50,2017-03-09
RATE,4,2017-03-16
DUSA,100,2017-03-30
JUMP,1,2017-04-01
YA01,1,2017-04-04
OP04,27,2017-04-06
SR03,40,2017-04-13
SR04,39,2017-04-13
MACR,1,2017-04-29
MACR,100,2017-05-04
DPDG,45,2017-05-25
MVPC,1,2017-05-29
MACR,4,2017-06-08
PEVO,60,2017-06-22
JUMP,1,2017-06-30
BLLR,80,2017-07-06
YS17,43,2017-07-20
COTD,1,2017-07-29
JMPS,1,2017-08-01
COTD,100,2017-08-03
OP05,27,2017-08-03
2017,2,2017-08-13
CT14,8,2017-08-24
MP17,239,2017-08-24
YCSW,1,2017-08-27
YA02,1,2017-09-05
LEDU,52,2017-09-07
YUCB,1,2017-09-15
COTD,4,2017-09-21
LEDD,111,2017-10-05
CIBR,1,2017-10-14
CIBR,100,2017-10-19
JUMP,1,2017-11-01
SDCL,43,2017-11-02
SPWA,60,2017-11-16
KACB,1,2017-11-17
CIBR,4,2017-12-07
OP06,26,2017-12-07
JMPS,1,2018-01-01
JUMP,1,2018-01-01
DEM4,10,2018-01-06
SR05,42,2018-01-18
EXFO,1,2018-01-27
EXFO,100,2018-02-01
LART,1,2018-02-01
LED2,53,2018-02-22
LART,1,2018-03-01
YA03,1,2018-03-06
LC06,5,2018-03-08
LCKC,110,2018-03-08
EXFO,4,2018-03-22
SP18,50,2018-03-29
YUCB,2,2018-03-29
LART,1,2018-04-01
OP07,26,2018-04-13
OP07,34,2018-04-13
SR06,42,2018-04-19
FLOD,1,2018-04-28
JUMP,1,2018-05-01
LART,1,2018-05-01
FLOD,100,2018-05-03
DASA,60,2018-05-24
LART,1,2018-06-01
FLOD,4,2018-06-07
BLRR,105,2018-06-28
LART,1,2018-07-01
YS18,45,2018-07-12
CYHO,1,2018-07-21
CYHO,100,2018-07-26
2018,2,2018-08-05
SDPL,42,2018-08-09
JUMP,1,2018-08-12
SHVA,60,2018-08-16
OP08,26,2018-08-17
OP08,36,2018-08-17
CT15,10,2018-08-30
MP18,233,2018-08-30
JMPS,1,2018-09-01
MVP1,4,2018-09-07
CYHO,4,2018-09-13
YCSW,1,2018-09-22
LED3,56,2018-09-27
LEHD,117,2018-10-04
SOFU,1,2018-10-13
SOFU,100,2018-10-18
AC18,24,2018-10-25
SR07,42,2018-11-01
YA04,1,2018-11-06
HISU,60,2018-11-15
JUMP,1,2018-11-21
JUMP,4,2018-12-01
OP09,26,2018-12-06
OP09,36,2018-12-06
SOFU,4,2018-12-06
JMPS,1,2019-01-01
LART,1,2019-01-01
LED4,56,2019-01-10
SS01,64,2019-01-24
SS02,69,2019-01-24
SAST,1,2019-01-26
SAST,100,2019-01-31
2019,2,2019-02-01
LART,1,2019-02-01
LART,1,2019-02-01
SDSB,45,2019-02-14
LART,1,2019-03-01
YA05,1,2019-03-05
SAST,4,2019-03-07
INCH,60,2019-03-21
SBLS,50,2019-03-28
DUPO,106,2019-04-03
YDPR,1,2019-04-06
OP10,25,2019-04-18
OP10,35,2019-04-18
STP1,18,2019-04-18
SR08,41,2019-04-19
DANE,1,2019-04-27
DANE,100,2019-05-02
SBAD,50,2019-05-30
LART,1,2019-06-01
DEM5,11,2019-06-08
DANE,4,2019-06-13
LART,1,2019-07-01
BLHR,94,2019-07-11
RIRA,1,2019-07-20
RIRA,100,2019-07-26
EVSD,6,2019-08-01
LART,1,2019-08-01
SBSC,50,2019-08-01
SS03,63,2019-08-01
OP11,25,2019-08-15
OP11,30,2019-08-15
SDRR,46,2019-08-15
EVSD,1,2019-08-17
LOD2,3,2019-08-20
FIGA,60,2019-08-22
YCSW,1,2019-08-25
MP19,270,2019-08-29
TN19,14,2019-08-29
YA06,1,2019-09-03
RIRA,4,2019-09-12
AC19,1,2019-09-26
AC19,23,2019-09-26
LED5,58,2019-09-26
DUDE,56,2019-10-10
STP2,18,2019-10-10
CHIM,1,2019-10-19
CHIM,100,2019-10-24
MYFI,60,2019-11-22
SBTK,10,2019-11-30
CHIM,4,2019-12-05
OP12,25,2019-12-05
OP12,35,2019-12-05
SBTK,51,2019-12-05
DEM6,21,2020-01-01
OPTP,1,2020-01-01
LART,1,2020-01-11
LED6,56,2020-01-16
MVP1,63,2020-01-23
IGAS,1,2020-01-25
IGAS,100,2020-01-30
JMPS,1,2020-02-01
LART,1,2020-02-01
SDSH,49,2020-02-13
LART,1,2020-03-01
IGAS,4,2020-03-05
DUOV,100,2020-03-19
SESL,60,2020-04-03
SR10,41,2020-04-16
ETCO,1,2020-04-25
ETCO,101,2020-04-30
SS04,67,2020-05-15
SS05,66,2020-05-15
LART,1,2020-06-01
LART,1,2020-06-01
LART,1,2020-06-01
YA07,1,2020-06-02
OP13,25,2020-06-15
OP13,34,2020-06-15
TOCH,60,2020-06-18
LDS1,121,2020-07-02
SDSA,48,2020-07-09
LART,1,2020-07-15
BLAR,94,2020-07-23
LART,1,2020-08-01
OPTP,1,2020-08-01
ROTD,1,2020-08-01
ROTD,101,2020-08-06
LART,1,2020-08-15
MP20,6,2020-08-27
MP20,246,2020-08-27
2020,1,2020-08-29
LART,1,2020-09-01
DLCS,149,2020-09-10
LART,1,2020-09-15
LED7,57,2020-09-24
LART,1,2020-10-01
LART,1,2020-10-01
LART,1,2020-10-01
SBPR,1,2020-10-01
OP14,25,2020-10-08
OP14,35,2020-10-08
LART,1,2020-10-10
SDCH,41,2020-10-22
PHRA,1,2020-10-31
LART,1,2020-11-01
PHRA,101,2020-11-05
MAGO,162,2020-11-12
OPTP,1,2020-11-26
SBCB,223,2020-11-26
LART,1,2020-12-01
GEIM,60,2020-12-03
SBPR,1,2020-12-07
LART,1,2021-01-01
LDS2,131,2021-01-21
BLVO,1,2021-01-30
BLVO,101,2021-02-04
OP15,26,2021-02-17
OP15,36,2021-02-18
SDFC,46,2021-02-18
LART,1,2021-02-19
LART,1,2021-03-15
LART,1,2021-04-07
GFTP,132,2021-04-15
ANGU,60,2021-04-29
LART,1,2021-05-05
21CC,1,2021-05-22
LIOV,1,2021-05-29
SBPR,1,2021-06-01
LIOV,101,2021-06-03
OP16,26,2021-06-09
OP16,36,2021-06-09
EGO1,35,2021-06-17
EGS1,38,2021-06-17
LART,1,2021-07-01
LART,1,2021-07-01
KICO,65,2021-07-08
LART,1,2021-08-01
DAMA,1,2021-08-07
DAMA,101,2021-08-12
2021,1,2021-08-28
LART,1,2021-09-01
MP21,258,2021-09-30
LART,1,2021-10-01
OP17,25,2021-10-13
OP17,35,2021-10-14
SDCS,48,2021-10-14
LED8,56,2021-10-28
LART,1,2021-11-01
BODE,101,2021-11-04
MGED,151,2021-11-18
LART,1,2021-12-01
SBPR,1,2021-12-01
BROL,95,2021-12-02
LART,8,2022-01-01
LART,1,2022-01-01
GRCR,60,2022-01-27
BACH,101,2022-02-10
OP18,25,2022-02-17
OP18,35,2022-02-17
HAC1,177,2022-02-24
STP3,34,2022-03-24
SDAZ,46,2022-04-14
GFP2,187,2022-05-05
DIFO,101,2022-05-19
OP19,29,2022-06-15
LED9,57,2022-06-16
LART,1,2022-07-15
LDS3,138,2022-07-21
POTE,101,2022-08-04
TAMA,60,2022-08-25
MP22,275,2022-09-14
SDCB,46,2022-09-29
DABL,101,2022-10-20
MAMA,100,2022-11-03
LART,1,2020-01-01
OP19,39,2022-06-10
OP20,27,2022-10-07
